
2023-06-20T02:49:51.408Z Connect to MongoDB failed
2023-06-20T03:12:08.527Z Connected successfully to mongodb://172.30.128.1:27018/locmobile?replicaSet=mongoRepSet
2023-06-20T03:12:08.535Z Connected successfully to MongoDB
2023-06-20T04:40:38.963Z Connected successfully to mongodb://172.30.128.1:27018/locmobile?replicaSet=mongoRepSet
2023-06-20T04:40:38.966Z Connected successfully to MongoDB
2023-06-20T05:33:55.419Z Connected successfully to mongodb://172.30.128.1:27018/locmobile?replicaSet=mongoRepSet
2023-06-20T05:33:55.422Z Connected successfully to MongoDB
2023-06-20T05:47:58.630Z Connected successfully to mongodb://172.30.128.1:27018/locmobile?replicaSet=mongoRepSet
2023-06-20T05:47:58.632Z Connected successfully to MongoDB
2023-06-20T05:52:25.634Z Connected successfully to mongodb://172.30.128.1:27018/locmobile?replicaSet=mongoRepSet
2023-06-20T05:52:25.637Z Connected successfully to MongoDB
2023-06-20T05:53:09.279Z Connected successfully to mongodb://172.30.128.1:27018/locmobile?replicaSet=mongoRepSet
2023-06-20T05:53:09.289Z Connected successfully to MongoDB
2023-06-20T05:55:34.663Z Connected successfully to mongodb://172.30.128.1:27018/locmobile?replicaSet=mongoRepSet
2023-06-20T05:55:34.667Z Connected successfully to MongoDB
